Freebirds,34.41337872997831,-119.85557153503345
IV Theater,34.41148457487443,-119.85477760116504
Woodstocks,34.4123077410076,-119.8551852969353
Domino's Pizza,34.4120776093561,-119.85753491203235
Sueno Orchard,34.412467391294285,-119.86344525917593
DP Sea Lookout Park,34.40980314118636,-119.8664278756005
DP Camino Pescadero Park,34.40974085211649,-119.85878493706338
DP Pelican Park,34.40926287100254,-119.8556735746061
Tropicana Villas,34.41508730199439,-119.85926101283684
Studio Plaza Apartments,34.41517614207528,-119.86311266498222
(theloop) Manzanita,34.40949186172778,-119.8532638696272
San Rafael,34.41103396854374,-119.85304929290601
Tahitian Apartments,34.417191797563866,-119.86416436706372
Garden Court Apartments,34.417120992027506,-119.86170746360608
Tropicana Gardens,34.41717231264276,-119.85733009849378
Tropicana Del Norte,34.4170165001335,-119.8543260243971
Bus Loop,34.415421574144986,-119.84831787620374
San Nicolas,34.40959749518761,-119.84607554946729
Santa Cruz,34.409951554117896,-119.84350062881299
Rec Center Parking Lot(16),34.41804345402924,-119.84709478889295
San Clemente Villages,34.41799920102673,-119.85485173736402
Santa Ynez,34.41865414307238,-119.86260868583508
Santa Catalina,34.41759207230499,-119.86798355682913
San Joaquin,34.41911436954931,-119.868680931173
Sierra Madre,34.41995516137933,-119.8702473412377
711 Goleta,34.43319530106348,-119.88476514816284
